,propertyid,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price
498,45138798,House,"DHA Phase 2, DHA Defence, Karachi, Sindh",3,3,1000,For Sale,165000000
185,44323622,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,178,For Rent,60000
668,45152675,Flat,"Sohni Golf View Apartments, Gulshan-e-Roomi, Faisal Cantonment, Cantt, Karachi, Sindh",3,3,172,For Sale,19900000
153,44162851,Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,160000
54,41887649,House,"DHA Defence, Karachi, Sindh",5,6,500,For Rent,300000
30,39943816,Upper Portion,"DHA Defence, Karachi, Sindh",4,4,500,For Rent,140000
390,44837162,Lower Portion,"Abul Hassan Isphani Road, Karachi, Sindh",2,2,120,For Rent,25000
644,43521859,Flat,"Clifton - Block 4, Clifton, Karachi, Sindh",4,2,122,For Sale,13500000
100,43632465,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,189,For Rent,55000
407,44837874,Flat,"DHA Defence, Karachi, Sindh",0,2,50,For Rent,27000
619,44774806,Flat,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",3,3,167,For Sale,21000000
685,44917633,House,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",4,5,350,For Sale,21200000
237,44536623,Flat,"Clifton, Karachi, Sindh",4,4,367,For Rent,260000
56,42110357,Flat,"Cantt, Karachi, Sindh",3,3,286,For Rent,85000
60,42357481,Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,160000
478,44746317,House,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,6,375,For Sale,67000000
262,44619859,Flat,"Bath Island, Karachi, Sindh",3,3,206,For Rent,170000
400,44837266,Lower Portion,"North Karachi, Karachi, Sindh",3,3,240,For Rent,55000
264,44629813,Flat,"Malir, Karachi, Sindh",3,4,244,For Rent,76000
673,45154356,Upper Portion,"Kashmir Road, Karachi, Sindh",4,4,200,For Sale,45000000
419,44839780,House,"Malir, Karachi, Sindh",2,3,190,For Rent,35000
208,44460563,House,"DHA Defence, Karachi, Sindh",4,6,300,For Rent,240000
434,44841249,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,161,For Rent,52000
586,44435758,Lower Portion,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",3,3,350,For Sale,26000000
167,44214621,House,"Shahra-e-Faisal, Karachi, Sindh",4,4,240,For Rent,300000
38,40827685,Flat,"North Nazimabad, Karachi, Sindh",2,2,89,For Purchase,9000000
389,44837150,Upper Portion,"North Karachi, Karachi, Sindh",2,3,120,For Rent,30000
