,propertyid,location,bedroom,bathroom,area ( Sq. Yd.),price,Flat,House,Lower Portion,Room,Upper Portion,For Purchase,For Rent,For Sale,address
276,44658452,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500,400000,False,True,False,False,False,False,True,False,185
277,44659732,"Civil Lines, Karachi, Sindh",3,3,188,130000,True,False,False,False,False,False,True,False,158
278,44669368,"Emaar Reef Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,278,175000,True,False,False,False,False,False,True,False,207
279,44670093,"Rashid Minhas Road, Karachi, Sindh",3,3,161,35000,True,False,False,False,False,False,True,False,349
280,44671844,"Allama Iqbal Road, PECHS, Jamshed Town, Karachi, Sindh",3,3,200,125000,False,False,True,False,False,False,True,False,106
281,44672045,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,200,190000,False,True,False,False,False,False,True,False,251
282,44672931,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,3,500,200000,False,False,True,False,False,False,True,False,185
283,44677696,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,356,180000,True,False,False,False,False,False,True,False,174
284,44678110,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500,425000,False,True,False,False,False,False,True,False,181
285,44682625,"DHA Phase 5, DHA Defence, Karachi, Sindh",5,6,1000,500000,False,True,False,False,False,False,True,False,180
286,44683321,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,4,128,60000,True,False,False,False,False,False,True,False,149
287,44683933,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,122,28000,True,False,False,False,False,False,True,False,116
288,44685780,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500,370000,False,True,False,False,False,False,True,False,181
289,44687302,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",2,2,106,25000,True,False,False,False,False,False,True,False,115
290,44687331,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,3,200,36000,False,True,False,False,False,False,True,False,123
291,44687338,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,150,50000,False,True,False,False,False,False,True,False,118
292,44689410,"Defence View Society, Karachi, Sindh",2,2,89,27000,True,False,False,False,False,False,True,False,198
293,44691707,"Badar Commercial Area, DHA Phase 5, DHA Defence, Karachi, Sindh",2,2,113,48000,True,False,False,False,False,False,True,False,114
294,44695059,"DHA Phase 7, DHA Defence, Karachi, Sindh",3,3,300,130000,False,False,False,False,True,False,True,False,183
295,44695163,"DHA Phase 7, DHA Defence, Karachi, Sindh",2,2,300,110000,False,False,True,False,False,False,True,False,183
296,44695503,"DHA Phase 7, DHA Defence, Karachi, Sindh",4,4,500,150000,False,False,False,False,True,False,True,False,183
297,44695709,"DHA Phase 4, DHA Defence, Karachi, Sindh",4,4,300,250000,False,True,False,False,False,False,True,False,179
298,44695892,"Defence View Phase 1, Defence View Society, Karachi, Sindh",3,3,120,110000,False,True,False,False,False,False,True,False,197
299,44696103,"DHA Phase 1, DHA Defence, Karachi, Sindh",3,3,500,130000,False,False,False,False,True,False,True,False,176
300,44700348,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,1000,1000000,False,True,False,False,False,False,True,False,185
301,44701254,"Sindh Baloch Housing Society, Gulistan-e-Jauhar, Karachi, Sindh",3,3,200,60000,False,True,False,False,False,False,True,False,372
302,44703528,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,1000,1000000,False,True,False,False,False,False,True,False,185
303,44706307,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,6,500,375000,False,True,False,False,False,False,True,False,181
304,44714159,"Badar Commercial Area, DHA Phase 5, DHA Defence, Karachi, Sindh",2,2,100,35000,True,False,False,False,False,False,True,False,114
305,44718708,"DHA Phase 5, DHA Defence, Karachi, Sindh",4,5,500,250000,False,True,False,False,False,False,True,False,180
306,44721215,"DHA Phase 2 Extension, DHA Defence, Karachi, Sindh",6,6,630,250000,False,True,False,False,False,False,True,False,177
307,44721612,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,200,57500,False,False,False,False,True,False,True,False,245
308,44727072,"Emaar Reef Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,5,243,250000,True,False,False,False,False,False,True,False,207
309,44728607,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,500,170000,False,False,False,False,True,False,True,False,185
310,44729265,"DHA Phase 8, DHA Defence, Karachi, Sindh",4,5,120,175000,False,True,False,False,False,False,True,False,185
311,44734683,"DHA Phase 8, DHA Defence, Karachi, Sindh",4,5,120,160000,False,True,False,False,False,False,True,False,185
312,44736561,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",1,1,44,15000,False,False,False,False,True,False,True,False,253
